구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량
dewe****,2024-03-13T02:56:49.461+00:00,,"37개월 입 짧은 여아~ 지금까지 아이반찬 시킨 곳 중에 유일하게 먹습니다. 어른이 먹어도 맛있네요~ 양도 푸짐하구요.
진짜 아이가 먹는 반찬이 생겨 너무 기쁘네요
또 주문합니다",5,1
dmsr*****,2024-03-07T06:35:17.911+00:00,,배송도 깔끔하게잘오고.다양한반찬경험하기 너무좋은것같아요.,5,1
mink*****,2024-03-28T03:14:41.179+00:00,발송일 선택 (당일조리): 3월 27일 수요일 발송,"맛있어요
저도 잘 먹고있습니당",5,1
kdy9***,2024-02-19T09:41:01.215+00:00,,"21개월 아기
그동안 이유식업체에서 유아반찬까지 쭉 시켜먹었었는데 이유식업체라 그런가 유아식은 별로더라구요
유아식 반찬 검색해보다 너를위한에서 첨 시켜봤는데 제가 먹어도 맛있네요
다음엔 한달치 먹어보려구요",5,1
anny*******,2024-03-31T03:14:21.845+00:00,발송일 선택 (당일조리): 3월 22일 금요일 발송,다양해서 좋아요. 매주 시캬요,5,1
rkds*******,2024-03-15T13:49:00.432+00:00,발송일 선택 (당일조리): 3월12일 화요일 발송,배송빠르고 잘받았습니다,5,1
kore****,2024-04-01T07:37:06.918+00:00,,여러가지 반찬을 먹일수 있어 너무 좋았어요,5,1
wj****,2024-02-21T03:49:54.912+00:00,,와우~~~ 후기 좋은 이유가 있었네요 대박 잘먹어요 심심하니 맛나요 밥태기 극복했어요ㅎㅎㅎ배송상태도 굿!!! 정기식단 구매해야겠어요,5,1
ryeo******,2024-03-31T11:44:33.695+00:00,발송일 선택 (당일조리): 3월 26일 화요일 발송,음식도 깔끔하게 잘 포장 되어 있고 녹지 않게 잘 왔어요,5,1
anny*******,2024-03-31T03:10:18.167+00:00,발송일 선택 (당일조리): 3월 29일 금요일 발송,"매주 시켜요. 
다양한 반찬 좋아요",5,1
ha****,2024-02-29T01:59:38.885+00:00,,"물론 아기가 안먹는 반찬도 있지만(채소류) 메뉴도 다양하고, 아기가 국을 좋아하는데 국이 양도 많아서 만족해서 정기배송으로 주문했습니다.",5,1
whs6****,2024-03-27T14:59:57.525+00:00,,먹지않아요 ㅠㅠ 유아식을 막 시작한 아이에겐 좀 짜네요 ㅜㅜ,1,1
juli*****,2024-03-09T01:23:08.577+00:00,,다양한 채소와 반찬 먹일 수 있어서 좋아요,5,1
anny*******,2024-03-31T03:14:46.687+00:00,발송일 선택 (당일조리): 3월 15일 금요일 발송,다양한 반찬에 엄마는 만족해요,5,1
juli*****,2024-02-23T14:10:07.859+00:00,,음식도 포장도 꼼꼼함이 느껴져요 아이가 새롭고 다양한 음식을 접할 수 있어서 좋아요!!,5,1
hoho***,2024-03-31T15:00:01.511+00:00,발송일 선택 (당일조리): 3월 15일 금요일 발송,맛있어여 재구매 의사있어요,5,1
pblo****,2024-03-11T14:49:23.303+00:00,,아기가 너무 잘먹고있습니다!,5,2
pblo****,2024-03-11T13:11:46.280+00:00,,아기가 너무 잘먹고있습니다!,5,1
mins*****,2024-01-22T05:13:14.817+00:00,,"처음으로 시판 반찬 주문해 보았습니다
기대가 컸나봐요 ㅜ 입맛의 개인차는 있겠지만
직접 유아식 만들어 먹인 유아식 6개월 차 아기 입니다 
곧 17개월되는 16개월 ..아기가 입에 안 맞는지 거의 다 뱉고..밥 좋아하는 아기가 너무 안먹어서 이런적 처음이라 ㅜㅜ 속상
저희 부부 입맛에도 몇몇반찬이 &hellip; 좀 짭쪼름하고 아직은 아기에게 케찹과 소시지도 먹이기 좀 그래서 가공식품 들어간 반찬이나 아기가 아예 뱉어버리는 남은건 ..아까우니 어른들이 먹을까해요 ㅎ
먹일수 있는 연령보고 우리 아기도 먹을 수 있을것 같아서 주문한건데 ㅎㅎ 24개월 이하의 어린 친구들이 먹는건 아닌가봐요 ㅜ 
구성은 괜찮으나 맛이 4세 이상 큰 친구들이 먹기 좋을 반찬 같네요",2,1
kmj7*****,2024-03-20T11:05:10.864+00:00,발송일 선택 (당일조리): 3월 19일 화요일 발송,배송 잘 받았어요 아기 먹여보고 잘 먹으면 정기배송신청하려구요!,5,1
melo******,2024-03-10T12:43:39.343+00:00,,맛있어요. 잘 먹을게요,5,1
mink*****,2024-03-21T05:51:16.600+00:00,발송일 선택 (당일조리): 3월 20일 수요일 발송,"음식이 맘에 들어요~~^^
정기배송가입할까해요",5,1
mine*****,2024-02-22T09:05:56.993+00:00,,"21개월 아이가 너무 잘 먹어서 감동입니다🥹
똥손 엄마라 한그릇 덮밥만 만들어주고, 반찬은 여러 유명한 시판브랜드 다 먹여봤지만 인위적인 맛이랑 질긴식감의 고기 때문인지 비싸게 주고 주문했는데 아이가 다 뱉어버렸었어요 ㅠㅠ 
근데 어제 배송와서 먹여봤는데 하나도 안 뱉고 잘 먹어서 기분이 너무 좋네요!
조만간 정기식단으로 주문해야겠어요!",5,1
eogu*******,2024-04-12T06:26:47.594+00:00,발송일 선택 (당일조리): 4월 11일 목요일 발송,좋아요~~~!!!!!!!,5,1
kwon*******,2024-03-22T05:25:52.520+00:00,,"잘먹고 좋아요~ 여기꺼만 먹습니다
둘째도 여기꺼먹이려구요",5,1
cung*****,2024-02-14T23:01:45.480+00:00,,"명절지나고 친정에서 좀더 지내게돼서 시켰는데 만족스러워요. 국도 정말 큰 비닐에 담겨오고 그 외에도 먹을게 많아서 일주일 더 있다가는데 반찬 걱정을 많이 줄었어요. 
또 시킬 것 같아요~",5,1
choc****,2024-02-22T04:41:02.767+00:00,,자주 시켜먹는 곳인데 맛이나 퀄리티 좋아요 메뉴도 다양하구요 근데 슬슬 편식을 시작해서 안먹는 것도 있네요,5,1
limj***,2024-01-05T07:12:29.564+00:00,,"처음 딱 열었을 때 가득 든 음식에 와우~~푸짐하다!
첨으로 참치누룽지야채죽 2돌 아기랑 반씩 나눠서 냠냠.. 
뒷맛이 오래 남아서 조미료가 들어갔나 싶은 맛에 문의했는데 친철히 응대해 주셨네요. 
조미료 안 들어 갔다는데 시판 참치캔 간장땜에 제가 그리 느끼나 봐요. (MSG 들어간 음식, 짠음식 싫어함)
간이 살짝 쎄다 싶은 것은 계란 1개 풀어서 볶아서 같이 나눠 먹어요. 
나물 맛있었어요. 잡채랑 같이 볶아주기도 하고 계란 풀어 부쳐주기도 하면서 다 먹었네요.
전반적으로 괜찮아서 한달 정기식단 먹어 볼려고 주문했어요.^^",5,1
jung*****,2024-04-09T00:49:04.883+00:00,,좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요,5,1
ny****,2024-03-14T14:54:40.045+00:00,발송일 선택 (당일조리): 3월12일 화요일 발송,아이가 잘 먹어요~~~,5,1
rkds*******,2024-03-07T09:58:12.932+00:00,,배송빠르고 잘받았습니다,5,1
ling*****,2024-03-12T13:33:52.194+00:00,,"수제야채참치 진짜 잘 먹었습니다^^
두번째 시켰는데 꾸준히 시켜보려구요 ㅎㅎ
편식하는 아기인데 정말 잘 먹어요!",5,1
yibo*****,2024-02-20T00:23:32.744+00:00,,"깔끔하게 포장되어오고 
아기도 새로운 반찬인데 
반은 먹고 반은 안 먹고 해요
새로운 거 잘 안 먹는 아기라 만족합니다.
양도 딱 좋은거 같아요",5,1
eogu*******,2024-04-09T06:36:42.543+00:00,발송일 선택 (당일조리): 4월 8일 월요일 발송,좋아요~~~!!!!!!!,5,1
wg****,2024-03-29T05:20:06.517+00:00,발송일 선택 (당일조리): 3월 27일 수요일 발송,아이가 잘먹어요 좋습니다,5,1
mro8***,2024-03-08T08:43:24.849+00:00,,항상 너무 잘먹어요!,5,1
neri****,2024-03-16T17:09:56.883+00:00,발송일 선택 (당일조리): 3월 15일 금요일 발송,"아기가 잘먹지않네요.
제가 먹어보면 맛은좋아요",4,1
ny****,2024-03-06T10:42:45.881+00:00,,닭 맥적구이 아이가 맛있대여ㅎㅎㅎ,5,1
ssyt****,2024-03-26T01:42:36.996+00:00,발송일 선택 (당일조리): 3월 22일 금요일 발송,소분해서 담아놓은걸 아먹이니 좋네요,5,1
znzn****,2024-02-21T10:12:55.710+00:00,,아기가 정말 좋아해요 너무 잘 먹네요 감사합니다 !!,5,1
eo****,2024-02-24T10:44:10.205+00:00,,가격최고 맛도좋아요. 서비수 감사 ♡,5,1
qybn*****,2024-03-11T02:37:55.795+00:00,,반찬 구성이 너무 좋아요. 약간 간만 더해줬더니 정말 잘 먹네요! 여기서 자주 시켜야겠어요!,5,1
kwon*******,2024-03-22T05:05:41.990+00:00,,잘먹어요~~ 메뉴가 다양하면 좋겠어요!,5,1
ljks*****,2024-03-23T23:22:25.375+00:00,발송일 선택 (당일조리): 3월 19일 화요일 발송,아이가 맛있게 잘먹네요,5,1
bboy***,2024-03-22T02:44:56.582+00:00,발송일 선택 (당일조리): 3월 20일 수요일 발송,배송빠르고 아기가 잘먹어요,5,6
redb****,2024-03-21T01:30:20.070+00:00,발송일 선택 (당일조리): 3월 19일 화요일 발송,단백질 다양하게 들어간 식단 구성도 좋고 아기도 잘 먹어요!,5,1
bboy***,2024-03-22T02:45:43.231+00:00,,배송빠르고 신선하게 왔오요,5,1
jjyu*****,2024-03-23T00:23:48.581+00:00,발송일 선택 (당일조리): 3월 20일 수요일 발송,아이가 잘 먹어서 좋아요,5,1
gofl***,2024-02-19T07:35:22.798+00:00,,"아이가 맛있게 잘 먹었습니다. 
안먹는게 있어도 제가 맛있게 먹는답니다. 감사합니다",5,1
wjsr******,2024-03-20T14:26:52.260+00:00,발송일 선택 (당일조리): 3월 15일 금요일 발송,메뉴도 다양하고 아이들이 잘 먹어요:),5,1
mro8***,2024-03-02T02:45:23.244+00:00,,항상 너무 잘먹는편이에요!,5,1
swee********,2024-02-03T06:00:16.617+00:00,,정기배송 하는데 명절 연휴에 모자랄 것 같아 중복 반찬이라도 추가 구매 했어요 가끔 한번씩 설명서가 아이스팩과 붙어 있어서 글씨가 번져서 와요ㅠㅠ,5,1
anny*******,2024-03-09T01:37:06.539+00:00,,아이가 다 잘먹지는 않지만 다양하게 접할수 있어서 좋아요. 매주 사요,5,1
rlaq*****,2024-02-22T08:46:30.553+00:00,,간도쎄지않고 아이도 잘먹고 좋네요,5,1
dmsa********,2024-02-28T14:00:41.930+00:00,,단품으로 구매가 안되서 세트로 했네요,5,1
jung*******,2024-01-27T05:01:56.056+00:00,,점심먹이기 전에 배송와서 너무 좋았어요!!!밥태기 인줄 알았는데 제 요리가 별로 였나봅니다 두그릇을 먹네요..정기권을 고민해봐야겠어요🤣 포장도 깔끔하고 조리방법도 하나하나 다 써주셔서 너무 좋아요!!,5,1
mro8***,2024-02-21T13:32:51.647+00:00,,"매주 시켜먹고있어요!
맛도좋고 영양도 만점!!",5,1
come***,2024-03-13T10:29:38.171+00:00,,밥을 너무 안먹어서 이곳저곳 시판 유아식은 다 주문하는중인데 역시 잘 안먹네요ㅠ,5,1
youh******,2024-03-20T01:13:38.779+00:00,발송일 선택 (당일조리): 3월 15일 금요일 발송,한번씩 시켜 먹는데~ 애들이.잘안먹어서요..ㅎㅎ,4,1
hyun******,2024-03-19T01:47:08.477+00:00,,좋네요 아기가 잘먹네요~,5,1
cdf6***,2024-03-14T13:10:22.379+00:00,,아이들이 잘 먹어서 좋아요,5,1
ww****,2024-03-02T08:46:57.331+00:00,,솔직히 무난합니다..,5,1
gofl***,2024-02-22T07:05:51.794+00:00,,잘 먹고있어요. 재구매했어요,5,1
love********,2024-03-05T06:33:50.065+00:00,,워킹맘이란 핑계로.. 아이 밥 챙겨주기 넘 좋네요 매번 시켜먹고 있어요,5,1
kj****,2024-03-16T09:02:08.452+00:00,발송일 선택 (당일조리): 3월13일 수요일 발송,가성비가 젛아요 그런데 맛은 급식에서 먹는맛정도^^,5,1
cdf6***,2024-03-14T13:06:28.886+00:00,,반찬을 고를 수 없는 점이 아쉽지만 그래도 맛 있어요!,5,1
club******,2024-03-04T04:27:59.166+00:00,,"제가 먹어도될만큼 너무 맛있네요
반찬도 다양해서 좋아요 ^^",5,1
bibi******,2024-01-15T06:49:37.387+00:00,,"육아동지가 소개해줘서 1회 주문해봤어요
지금 19개월인 저희 아들은 태어날때부터 밥을 잘먹는 아기가 아니라 분유부터 이유식 유아식 버리는게 더 많아요

저도 먹는거는 이미 내려놓은지 오래지만 그래도 지푸라기는 매번 잡고있네요 ㅋㅋ 이번에도 그런마음이었구요.... 

게다가 감기에 이앓이까지 겹쳐서 먹는게 거의 없다시피했는데 타이밍이 좋은건지 아기 입맛이 맞아서 그런건지 차려준 식판때부터 밥1그릇정도를 먹었어요.... 

단단한 식감인 당근이나 감자, 이런건 아예 골라서 빼줬고 반찬들을 좀 더 잘게 잘라서 주니까.. 아기가 엄청 잘먹어요.... 
언제 또 잘 안먹을지 모르겠지만 배송온 토요일부터 해서 오늘 아침 덮밥소스에 밥 비빈것 까지 완전 잘먹었어요. 
먹이는거 집중하느라 사진도 없네요..
원래 후기를 이렇게 길게 안쓰는데ㅋㅋ 소개해준 지인에게도 고맙다고 하려구요... 맛난반찬 해주셔서 감사합니다",5,1
rkds*******,2024-02-17T13:19:03.189+00:00,,배송빠르게 잘받았습니다,4,1
noha****,2024-02-14T01:41:04.137+00:00,,3번째 시키고있어요 만족합니다 계속 아이가 좋아하면 한달치 시켜야겠어요,5,1
knr1***,2024-03-08T04:58:24.607+00:00,,좋아요좋아요보ㅗ아요,5,1
lx15****,2024-01-10T07:04:39.723+00:00,,"아기가 잘먹어서 또 주문했어요 ㅎ
반찬양 많아서 좋고 매번 식단 바껴서 좋아요
치킨텐터는 눅눅해서 냉장으로 놓고 먹기는 별로인거 같아요..",4,1
gkss*******,2024-03-11T01:23:12.408+00:00,,잘받았어요 좋네요굿입니다,5,1
tobb***,2024-03-10T12:37:48.050+00:00,,다시 재주문해야겠어요 ㅎㅎ너무 좋아요~,5,1
cdf6***,2024-03-14T13:14:20.636+00:00,,아이가 잘 먹어서 좋아요,5,1
skyq********,2024-03-19T10:08:40.939+00:00,발송일 선택 (당일조리): 3월 15일 금요일 발송,아이가ㅡ좋아합니다!!,5,1
cdf6***,2024-03-14T13:08:59.826+00:00,,아이들이 잘 먹어요,5,1
soon******,2024-02-22T03:58:50.990+00:00,,아기가 너무 좋아합니다,5,1
nays****,2024-02-02T05:53:08.007+00:00,,"18개월아기 반찬찾다 첫 주문하게되엇는대 
아직 낯설은지 잘먹지않앗어요ㅜ.ㅜ
그래도 반찬을 밥이랑 볶아서 주니 잘먹엇네요~^^",5,1
come****,2024-02-20T08:24:03.025+00:00,,17개월 딸이 잘먹어서 정기배송해요,5,1
sims****,2024-01-20T04:02:04.048+00:00,,아기반찬 다양하게 먹여보고 싶어 주문했어요. 맛있는데 그만큼 단거 같고 짠맛도 제 생각보다는 조금 더 짠듯했어요. 입맛은 개인차니까 아기는 맛있게 잘 먹네요~,5,1
fnlo****,2024-01-08T08:31:20.415+00:00,,"22개월 아기가 잘먹어요~ 
다른 아기 반찬들은 어른이 먹어보면 무슨맛으로 먹나 싶을때가 많은데, 반찬들이 제가 먹어봐도 맛있어요. 
특히 매생이국은 아기가 국그릇째 원샷했어요~ㅎㅎ
양도 정말 많아서 소분해서 먹이니 한참 먹네요^^
몽골리안 비프볶음은 떡국에 고명으로 넣어서 활용해 봤더니 잘먹었어요ㅎ
돼지고기 오색 야채볶음은 그냥 반찬으로도 주고 계란말이에 야채대신 넣어서 만들어주니 좋네요ㅎ

그냥 반찬으로도 잘 먹지만 다양하게 응용해서 해 줄 수 있는 반찬도 있어서 좋은것 같아요~!",5,1
cdf6***,2024-03-14T13:11:33.644+00:00,,"아이들이 잘 먹어요
!",5,1
jung********,2024-03-14T04:25:50.530+00:00,,늘 재구매해서 먹이구있어요ㅎㅎ,5,1
thdm*****,2024-03-10T10:40:41.727+00:00,,다양하게 먹릴수있어 좋아요,5,1
chlt****,2024-02-20T06:46:26.684+00:00,,깔끔하고 좋아요~!,5,1
thdm*****,2024-03-10T10:44:19.041+00:00,,다양하게 먹이고 싶어 주문하고있습니다,5,1
alqn*******,2024-02-21T03:28:15.766+00:00,,아기가 밥태기가 심하개와서 샀어요,5,1
te****,2024-01-29T02:13:10.747+00:00,,"지속적으로 재구매 중이예요 ! 
두달정도 주문해서 먹이는 중인데 겹치는 반찬이 없어 아이에게 다양히 먹일수 있어 좋아요 ㅎ 

양을봐서 소분해서 얼려놓고 먹이고 있어요 !",5,1
thak*****,2024-02-17T02:42:27.579+00:00,,아기가 잘 먹어요~든든하네여,5,1
kmja****,2024-03-09T08:25:57.611+00:00,,항상 맛있게 먹고 재주문합니다,4,1
o118******,2024-03-13T08:41:28.447+00:00,,재구매또했습니다 하하,5,1
90****,2024-01-22T14:25:02.294+00:00,,"밥먹는데30분이 기본인40개월이이가 30분도안되서 다먹었어요....덕분에 16개월동생도 잘먹었어요

맛있는거같고 그렇다고 간이세지도않고
메뉴도 다양해서 좋더라구요!
정기배송해보려구요",5,1
sw****,2024-03-13T02:25:58.065+00:00,,둘째는 잘먹는데 첫째는 잘 못먹네요 ㅠㅠ,4,1
6119****,2024-03-07T07:01:53.626+00:00,,빠른 배송 감사합니다,5,1
aaaa****,2024-03-02T11:00:29.768+00:00,,"반찬을 선택할수가 없어서아쉬워오 ㅠㅠ
이번반찬은 안먹네요 ㅠㅠ",5,1
bono*******,2023-12-13T07:46:28.804+00:00,상품선택: 정기배송(4주)(화요일 출고),"한달씩 3회 먹어봤어요.
47개월,14개월 아기들이 먹고있구요.
애들이 콩조림류는 잘 안먹네요 ㅠㅠ
그래도 골고루 영양가있게 먹이기 좋아서 꾸준히 결제하게 돼는것 같아요.
47개월 언니 편식도 심하고 엄청난 소식좌라...
먹이는 씨름을 매일 같이하지만...
내가 열심히 만들고 안먹는거랑 편하게 구매해서 안먹는거랑은 달라요..
내가 하면 이렇게 영양가 있고 다양하게 못만드는데  조금먹이더라도 영양가 있는음식 먹일수 있어서 좋구요.
이번에 그린카레 왔던걸 맛있다며 잘 먹어서 좀 놀랐어요.(엄마카레 안 먹는 47개월 언니....)
둘째는 아직 좋아하는걸 찾아가는 단계이지만
대체적으로 무난히 다 잘 먹어줍니다ㅎㅎㅎ
일단 아기들 반찬은 계속 이용할 계획입니다 
저번에 설명서?가 동봉이 안돼어 카톡으로 문의드리니 답변도 빠르게 주셨어요.
그냥 얼마정도 댑혀먹이라는 설명서 일뿐인데
이 설명서가 없으면 뭔가 허전해요 ㅋㅋ
뭔가허둥허둥하게 된다는....ㅋㅋㅋ
사진은 조금 지난 사진이지만...둘째가 이렇게 먹어도돼나 싶을정도로 많이 먹었던 세발나무전..ㅋㅎㅎ",5,1
par7***,2024-02-23T02:20:55.077+00:00,,요청사항도 들어주시고 무엇보다 아이가 맛있게 먹네요!! 감사합니다,4,3
par7***,2024-02-23T02:19:47.432+00:00,,요청사항도 들어주시고 무엇보다 아이가 맛있게 먹네요!! 감사합니다,4,1
par7***,2024-02-23T02:19:34.032+00:00,,요청사항도 들어주시고 무엇보다 아이가 맛있게 먹네요!! 감사합니다,4,1
kies***,2024-01-06T01:48:56.959+00:00,,"15개월 들어서는 아기입니다~
유아식 시작하면서 반찬 고민되어 시켜봤어요.
매번 반찬마다 잘 먹는것도 있고, 안먹는 것도 있었는데요, 이번 반찬은 정말 잘 먹네요 ㅎ ㅎ
국 제외해달라고 했는데, 잘 먹는 덮밥소스를 하나 더 주셔서 너무 좋아요!
정기 구독 신청하려구요~
앞으로도 맛있고 건강한 반찬 부탁드립니다🙏",5,1
yooj*****,2024-02-04T10:00:21.058+00:00,,배송이 생각보다 느렸지만 포장 꼼꼼히 잘왔어요~,5,1
beet****,2024-03-04T13:06:18.154+00:00,,계속 시켜먹고 있어요. 아기가 잘 먹어요,5,1
rmat***,2024-03-04T04:04:35.878+00:00,,생각보다 좋아요.. 근데 조금짜요..^^;;,3,1
thak*****,2024-03-11T15:27:16.776+00:00,,아기가 잘 먹어요 굿,5,1
po****,2024-03-07T01:31:03.666+00:00,,빠른배송감사합니다!!,3,1
poin*****,2024-02-27T00:20:35.406+00:00,,아이 입맛에 잘 맞네요 재구매 의사 있어요,5,1
kimm********,2024-02-24T04:50:06.266+00:00,,"먹는건 잘먹고, 않먹는건 아예 않먹어서 &gt;.&lt; 이번에 3통은 버렸어요..ㅠ 국은 항상 맛있어해요~~",4,1
cuty***,2024-03-28T03:08:09.700+00:00,,좋라요좋아요좋아요좋아요,5,7
cuty***,2024-03-28T03:02:41.943+00:00,발송일 선택 (당일조리): 3월 22일 금요일 발송,좋라요좋아요좋아요좋아요,5,1
cuty***,2024-03-28T03:00:37.935+00:00,,좋라요좋아요좋아요좋아요,5,1
cuty***,2024-03-28T02:59:01.415+00:00,,좋라요좋아요좋아요좋아요,5,1
cuty***,2024-03-28T02:56:01.469+00:00,,좋라요좋아요좋아요좋아요,5,1
cuty***,2024-03-28T02:55:24.661+00:00,발송일 선택 (당일조리): 3월 15일 금요일 발송,좋라요좋아요좋아요좋아요,5,1
cuty***,2024-03-28T02:54:21.804+00:00,발송일 선택 (당일조리): 3월 27일 수요일 발송,좋라요좋아요좋아요좋아요,5,1
daun****,2023-12-26T12:26:26.122+00:00,,"19개월 남아입니다. 밥을 잘 먹는데 문제는 제가 요리를 못해요..ㅠㅠ 쌀미음부터 실패해서 이곳저곳 사서 먹였고 유아식 시작하면서 조금씩 만들어 먹였어요(볶음밥, 누룽지, 구이 등등) 아직 어린이집도 안다니고 삼시세끼를 해결한다는게 너무 버겁고 다양하게 차려주기도 너무 힘들어서 친구에게 털어놨는데 추천해주더라구요. 고민할 필요도 없이 구매했어요. 구성도 너무 좋고 소분해서 얼려 놓으면 꽤 오래 먹을 수 있겠더라구요!!👍
밥도 진짜 잘 먹어요!!! 당분간 식단 걱정 안해도 되니 너무 든든합니다😊😊",5,1
swee********,2024-01-11T06:02:13.027+00:00,,유아식 유목민이였는데 테스트 겸 일주일 배송 몇 번 주문해서 먹여보는데 잘먹네요 아직 땅콩테스트를 못한 아기라 땅콩 빼달라 요청했더니 땅콩도 빼주시고 설명서도 매번 동봉되어 와서 좋아요 이제 한달 치 주문하려구요,5,1
poin*****,2024-02-29T06:58:26.077+00:00,,괜찮아요 재구매 의사 있어요,5,1
jung********,2024-02-14T07:31:16.495+00:00,,늘 구매하고있어요! 한달로 구매해서 먹다가 두번으로 바꿧는데 만족해요 양도 많고 늘 요청사항도 잘들어주셔서 둘째도 좀더크면 여기서 주문해서 먹일꺼예요:),5,1
kwon*******,2024-03-02T16:05:28.755+00:00,,잘먹어요 또 주문하러왔어요!^^,4,1
kmom****,2024-03-06T08:11:24.832+00:00,,아이가너무잘먹어요ㅋ,5,1
swee********,2024-01-02T10:38:53.355+00:00,,아기가 잘 먹을지 어떨지 몰라서 1회배송으로 2번 시켜봤는데 잘 먹어요 그래서 4회 정기배송으로 주문할까 생각중이에요 특히 덮밥이나 볶음류는 홈메이드 느낌도 나고 양도 넉넉해서 일주일 거뜬히 먹겠더라구요 물론 애바애로 애기 입맛에 따라 좋아하고 싫어하는 게 있지만 매일 다양하게 먹일 수 있어서 좋아요 지금도 잡채랑 밥이랑 같이 볶아서 잡채밥 만들어줬어요 제가 먹어도 맛있네요,5,1
hwas****,2024-02-12T10:11:23.504+00:00,,상세 설명꺼지 너무 좋네요,5,1
snaa***,2024-03-02T08:36:47.480+00:00,,메뉴 구성도 좋고 아이가 잘 먹어요^^,5,1
qhrl******,2024-02-01T04:17:30.592+00:00,,애기가 너무 잘먹어여^^배송도 괜찮고 좋아요,5,1
poin*****,2024-02-27T00:13:51.417+00:00,,재 구매 의사 있어요 또 주문 할께요,5,1
synn****,2024-01-17T01:48:36.983+00:00,,"양도 많고 맛있어요
간도 슴슴하니 20갤 아기 먹기 좋습니다
아기가 반찬을 적게먹는편이라 저도 같이 먹어요
식단이 인스타가 아닌 상세정보란에도 표기가 되면 좋을것 같아요",5,1
gung********,2024-02-06T00:27:47.860+00:00,,국도 너무 맛있고 포장도 잘되서 왔어요,4,1
k100***,2024-01-06T06:20:13.225+00:00,,"입짧은 16개월 아기 육아중입니다
밥 먹을 때마다 잘 먹지 않아 스트레스 받는데 너를위한 반찬 지인 소개로 시켜봤어요
완밥 할때도 있구요!! 반타작 이상은 먹어요 :)
만족해요, 점점 잘 먹길 바래봅니다",5,1
smil*******,2024-03-05T07:02:48.661+00:00,,두번째 주문했는데 잘 먹어요~,5,1
mro8***,2024-01-17T10:31:15.303+00:00,,"저는 저희애가 밥태기온쥴알았는데
아니었네요..
국을 들고마시겠다고 난리치더라구용..^^
비법좀알려주세요😭😭
15개월아기입니당",5,1
lsyi****,2024-03-02T00:15:32.749+00:00,,맛있고 아이가 잘먹어요,4,1
juyo*****,2024-01-02T03:38:32.234+00:00,,"빠르게 잘 받았습니다
근데 참치누룽지죽?이 엄청 짜네요 ㅠㅠ
다른반찬들도 조금 짜요
어른이 먹어도 짜면 염도가 걱정되요
정기배송 고민하고있엇는데 ㅜㅜ나트륨 당같은 성분표도 표기가 안되있어 아쉽네요
리뷰보고 기대하고있엇는데 조금 실망했어요
48개월 아기도 잘 먹진 않네요 .. ㅠㅠ",3,1
mylo*****,2024-03-05T16:51:04.030+00:00,,너무 아이가 잘먹어요!,5,1
djel*****,2024-02-14T22:26:53.148+00:00,,제가 해주던 음식에 익숙해져서 그런지 아이가 잘 먹지 않더라구요. 음식의 맛은 괜찮았어요.,4,1
snaa***,2024-03-02T08:37:12.187+00:00,,아이가 맛있게 잘 먹어요^^,5,1
akka***,2024-01-06T12:04:24.692+00:00,,제가 다양하게 해주질 못해서 시판반찬 가끔 시키는데 잘안먹거든요~ 뭘 해줘도 잘 안먹으니 큰 기대 없이 시켜봤어요. 오늘 도착해서 처음 줘봤는데 완전 깨끗이는 아니어도 좀 먹어서 만족이에요~ 특히 검정콩조림은 안먹을줄 알았는데 과자처럼 쏙쏙 집어서 왕 먹더라구요~ 다음에도 또 시킬게요~,5,1
jung*****,2024-02-26T00:33:29.085+00:00,,포장도 예쁘고  너무 맛있다고 해주네요,5,1
gofl***,2024-01-26T07:12:19.302+00:00,,엄마 입엔 너무 맛있는데 아이가 아파서인지 안먹네요 ㅜ 너무 맛있어요,5,1
toli********,2024-02-04T03:20:16.004+00:00,,워킹맘이라 반찬이 고민이었는데 마음에 들어요~^^,5,1
love******,2024-02-05T09:58:48.951+00:00,,소개로 주문했어요. 처음엔 안먹어서 돈 날렸다 생각했는데 가위로 입자를 좀 더 작게 잘라줬더니 낯선맛도 제법 먹네요^^  재주문 의향있어요. 다만 같은 음식이 또 올까봐 걱정이 ^^,5,1
lims***,2024-02-16T14:45:15.748+00:00,,"아이가 진짜 잘 먹어요~~^^  간은  아이 식성 
및 선호 에 맞게 약간 조절해 주면 밥 한그릇뚝딱 합니다.",5,1
alsd*******,2024-02-23T23:26:22.734+00:00,,골고루 식단이 잘 짜진것같아 마음에들어요,5,1
jjin****,2024-02-05T03:53:02.623+00:00,,양도 많고 젤 중요한건 39개월 아기가 엄청 잘먹어요,5,1
craz*****,2024-02-05T02:44:10.494+00:00,,배송 빠르고 좋아요,5,1
ppm1***,2024-02-17T15:52:24.712+00:00,,아이가  그래도  좀 먹는편입니다 ㅋㅋ 재주문할게요,5,1
yhl0***,2024-02-24T06:18:52.268+00:00,,맛있어요!! 아기가 잘먹어요!!,5,1
gksm******,2024-02-29T14:12:54.339+00:00,,잘 먹이고 있어요 매번!,5,1
soon******,2024-02-06T06:51:17.346+00:00,,아이가 너무 잘먹네요 ㅎ,5,1
pbad*****,2024-03-12T01:55:34.619+00:00,,아이도 잘 먹고 저도 잘 먹고 있습니다~ 잘 애용하고 있습니다b,5,1
